"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05320","hsa05320","Autoimmune thyroid disease","5/73","53/8773",7.30437084911988e-05,0.000353373616754718,0.000199493485495166,"941/942/356/3558/5551",5
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","9/73","222/8773",8.59941004483842e-05,0.000405077473164757,0.000228682372383515,"2353/3558/3559/3569/4792/7124/890/1959/3932",9
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity","7/73","132/8773",0.000106217721899066,0.000487512108203407,0.000275220008159524,"356/3458/7124/5551/3822/22914/3932",7
"hsa04658","hsa04658","Th1 and Th2 cell differentiation","6/73","92/8773",0.000109232809352429,0.000488816821852119,0.00027595657099561,"2353/3458/3558/3559/4792/3932",6
"hsa04210","hsa04210","Apoptosis","7/73","135/8773",0.000122322689553478,0.000534042961709088,0.0003014885288096,"356/2353/3563/4792/5366/7124/5551",7
"hsa04621","hsa04621","NOD-like receptor signaling pathway","8/73","186/8773",0.000145433583118136,0.000619824080432055,0.000349915387953409,"6347/6352/3576/3553/3569/4792/7124/2920",8
"hsa04380","hsa04380","Osteoclast differentiation","7/73","141/8773",0.000160502941356478,0.000668140151228129,0.000377191734889153,"2353/3458/3553/4792/7124/11026/3932",7
"hsa04151","hsa04151","PI3K-Akt signaling pathway","11/73","359/8773",0.000168082574304338,0.000683790472738102,0.000386026964909484,"356/3558/3559/3563/3569/3574/3575/7057/3371/930/374",11
"hsa05146","hsa05146","Amoebiasis","6/73","102/8773",0.000193208567840719,0.000757186127582128,0.000427461736241601,"3576/3458/3553/3569/7124/2920",6
"hsa05321","hsa05321","Inflammatory bowel disease","5/73","65/8773",0.000194584144518312,0.000757186127582128,0.000427461736241601,"3458/3553/3558/3569/7124",5
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","6/73","104/8773",0.000214890722545296,0.000818413602885275,0.000462027085427735,"3553/3558/3569/4792/7124/1959",6
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","8/73","198/8773",0.000223579749976001,0.000833766150952171,0.000470694210475792,"3576/356/2353/3553/3569/4792/7124/7122",8
"hsa04066","hsa04066","HIF-1 signaling pathway","6/73","108/8773",0.000263999306332301,0.000964405629254731,0.000544445400814197,"1906/3162/3458/3569/5054/7076",6
"hsa04662","hsa04662","B cell receptor signaling pathway","5/73","90/8773",0.000881446578234024,0.00315557875007781,0.00178144992653613,"2353/4792/973/930/11026",5
"hsa05322","hsa05322","Systemic lupus erythematosus","6/73","137/8773",0.000938155982775301,0.00329274354738782,0.00185888491943094,"941/942/3458/7124/718/8330",6
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","7/73","194/8773",0.0011015654423468,0.00379192719577071,0.00214069397703022,"942/3576/2353/3569/4792/718/2920",7
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","6/73","155/8773",0.00177264294590117,0.00598685070408132,0.00337981574590889,"3576/356/2353/3553/3569/7124",6
"hsa01523","hsa01523","Antifolate resistance","3/73","30/8773",0.00190997663266094,0.0063312188378946,0.00357422527749416,"3553/3569/7124",3
"hsa05160","hsa05160","Hepatitis C","6/73","158/8773",0.00195388858392324,0.00635901920949565,0.00358991969486376,"3627/356/3458/4792/7124/7122",6
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","4/73","70/8773",0.00267355989625438,0.0085458432398131,0.00482446898572218,"6352/3576/4792/2920",4
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","4/73","72/8773",0.00296264569698015,0.00930374701332364,0.00525233586168226,"3627/3576/4792/7124",4
"hsa04115","hsa04115","p53 signaling pathway","4/73","75/8773",0.00343532834765928,0.0106021340384657,0.00598532706670219,"5366/5054/7057/6241",4
"hsa04612","hsa04612","Antigen processing and presentation","4/73","78/8773",0.00395697498080257,0.0120050596875197,0.00677733448986703,"3458/7124/3822/3303",4
"hsa05219","hsa05219","Bladder cancer","3/73","41/8773",0.00469754777942994,0.0140143508752993,0.00791165941798727,"3576/4318/7057",3
"hsa05202","hsa05202","Transcriptional misregulation in cancer","6/73","193/8773",0.00526050999951131,0.0154365785231561,0.00871456358849155,"942/3576/3569/4318/5328/890",6
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","4/73","89/8773",0.00632521986535101,0.0182615218693199,0.0103093566565993,"2353/3458/4792/3932",4
"hsa05169","hsa05169","Epstein-Barr virus infection","6/73","202/8773",0.00654541747107438,0.0185972972590844,0.0104989152418236,"3627/3569/4792/7124/890/930",6
"hsa05205","hsa05205","Proteoglycans in cancer","6/73","203/8773",0.00670112337529198,0.0187422044402697,0.0105807211188821,"356/4318/5328/7124/7057/5329",6
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","6/73","212/8773",0.00822638595059451,0.0226542013100987,0.0127891992106408,"356/2353/4792/7124/7852/200315",6
"hsa04217","hsa04217","Necroptosis","5/73","159/8773",0.0102494245413679,0.0277976817106797,0.0156928988193193,"356/3458/3553/7124/8330",5
"hsa04010","hsa04010","MAPK signaling pathway","7/73","299/8773",0.0118681406543858,0.0317074205542547,0.0179001021652952,"356/2353/3553/7124/1843/3303/374",7
"hsa04350","hsa04350","TGF-beta signaling pathway","4/73","108/8773",0.0123402303602052,0.0324838416834812,0.0183384228263111,"3458/7124/3397/7057",4
"hsa05145","hsa05145","Toxoplasmosis","4/73","111/8773",0.0135371618621616,0.03511814454097,0.0198255917432115,"3458/4792/7124/3303",4
"hsa04670","hsa04670","Leukocyte transendothelial migration","4/73","115/8773",0.0152448891778181,0.0389833594689921,0.0220076595649705,"4318/7412/7852/7122",4
"hsa05131","hsa05131","Shigellosis","6/73","247/8773",0.0165718087509674,0.0411955391357189,0.0232565231227816,"6352/3576/3553/4792/7124/718",6
"hsa05132","hsa05132","Salmonella infection","6/73","247/8773",0.0165718087509674,0.0411955391357189,0.0232565231227816,"3576/2353/3553/3569/4792/7124",6
"hsa05152","hsa05152","Tuberculosis","5/73","180/8773",0.0168004154017178,0.0411955391357189,0.0232565231227816,"3458/3553/3569/7124/718",5
"hsa05416","hsa05416","Viral myocarditis","3/73","69/8773",0.0195713969804261,0.0473416224256252,0.0267262320074097,"941/942/5551",3
