"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050864","GO:0050864","regulation of B cell activation","17/231","204/18903",5.77478070312334e-10,1.49724314230071e-07,1.2174011377015e-07,"BANK1/GPR183/TNFRSF13B/IL7/BTK/FCRL3/CLCF1/IL6/IL10/CD300A/MNDA/TNFRSF13C/FCGR2B/CD74/CD19/VAV3/TLR9",17
"GO:0030890","GO:0030890","positive regulation of B cell proliferation","9/231","45/18903",3.14421983430144e-09,7.47276247285642e-07,6.07606692540883e-07,"GPR183/IL7/BTK/FCRL3/CLCF1/TNFRSF13C/CD74/VAV3/TLR9",9
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","23/231","450/18903",7.92491462693655e-09,1.73860434738639e-06,1.41365076300739e-06,"GPR183/FGR/CCR7/ZBTB16/IL7/CCL5/BTK/CD83/FCRL3/CLCF1/IL6/IL10/HAVCR2/TNF/KLRK1/TNFRSF13C/CD74/ITGAM/IL33/CD70/VAV3/TLR9/CCL21",23
"GO:0002697","GO:0002697","regulation of immune effector process","21/231","379/18903",9.06668975075402e-09,1.84701422636789e-06,1.50179830984294e-06,"NCR3/FGR/FCER2/CR2/CD1C/BTK/FCRL3/CLCF1/IL6/IL10/HAVCR2/CD300A/TNF/KLRK1/FCGR2B/CD74/NCF1/BATF/ITGAM/IL33/TLR9",21
"GO:0050867","GO:0050867","positive regulation of cell activation","23/231","467/18903",1.58218968204662e-08,3.0082699821313e-06,2.44600973301663e-06,"GPR183/FGR/CCR7/ZBTB16/IL7/CCL5/BTK/CD83/FCRL3/CLCF1/IL6/IL10/HAVCR2/TNF/KLRK1/TNFRSF13C/CD74/ITGAM/IL33/CD70/VAV3/TLR9/CCL21",23
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","13/231","146/18903",2.9237534632291e-08,5.21159054820587e-06,4.23751899966691e-06,"GPR183/IL7/CCL5/BTK/FCRL3/CLCF1/IL6/HAVCR2/TNFRSF13C/CD74/CD70/VAV3/TLR9",13
"GO:0002683","GO:0002683","negative regulation of immune system process","22/231","449/18903",3.61946176560058e-08,5.91004748125993e-06,4.80543094456914e-06,"GAL/BANK1/TNFRSF13B/FGR/CR2/DUSP1/BTK/CD200/CNR2/FCRL3/HCK/LST1/IL10/HAVCR2/CD300A/TNF/KLRK1/MNDA/FCGR2B/CD74/IL33/CCL21",22
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","13/231","149/18903",3.73004399238004e-08,5.91004748125993e-06,4.80543094456914e-06,"GPR183/IL7/CCL5/BTK/FCRL3/CLCF1/IL6/HAVCR2/TNFRSF13C/CD74/CD70/VAV3/TLR9",13
"GO:0030183","GO:0030183","B cell differentiation","13/231","152/18903",4.73148467383376e-08,6.86082280243166e-06,5.57850174716061e-06,"GPR183/CR2/IL7/BTK/FCRL3/CLCF1/IL6/IL10/MS4A1/HHEX/FCGR2B/CD19/TLR9",13
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","16/231","241/18903",4.81123618683847e-08,6.86082280243166e-06,5.57850174716061e-06,"NCR3/FGR/FCER2/CR2/CD1C/BTK/CLCF1/IL6/IL10/HAVCR2/CD300A/TNF/KLRK1/FCGR2B/ITGAM/TLR9",16
"GO:0002443","GO:0002443","leukocyte mediated immunity","22/231","463/18903",6.21641031471499e-08,8.44247724646055e-06,6.86453730492087e-06,"NCR3/FGR/FCER2/CR2/CD1C/BTK/GAPT/CLCF1/IL6/IL10/HAVCR2/CD300A/TNF/KLRK1/FCGR2B/CD74/BATF/ITGAM/CD19/CD70/TLR9/PTGDR",22
"GO:0030889","GO:0030889","negative regulation of B cell proliferation","6/231","19/18903",7.41361954880471e-08,9.61074679690501e-06,7.81445161053434e-06,"TNFRSF13B/BTK/IL10/CD300A/MNDA/FCGR2B",6
"GO:0050900","GO:0050900","leukocyte migration","20/231","398/18903",1.03543397320801e-07,1.28393812677793e-05,1.04396386406281e-05,"SELL/GPR183/CCR7/CXCR4/DUSP1/CCL5/CD200/CNR2/HCK/ALOX5/IL6/IL10/CXCR5/CD300A/TNF/KLRK1/CD74/IL33/VAV3/CCL21",20
"GO:0002366","GO:0002366","leukocyte activation involved in immune response","17/231","293/18903",1.28760671688099e-07,1.53010598189358e-05,1.24412175319685e-05,"GPR183/FGR/CD1C/BTK/GAPT/CLCF1/IL6/IL10/HAVCR2/CD300A/FCGR2B/CD74/BATF/ITGAM/CD19/IL33/PTGDR",17
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","13/231","167/18903",1.43687616452873e-07,1.63918832849437e-05,1.33281608019233e-05,"GPR183/IL7/CCL5/BTK/FCRL3/CLCF1/IL6/HAVCR2/TNFRSF13C/CD74/CD70/VAV3/TLR9",13
"GO:0002263","GO:0002263","cell activation involved in immune response","17/231","297/18903",1.56303686692351e-07,1.65159909507148e-05,1.34290721430666e-05,"GPR183/FGR/CD1C/BTK/GAPT/CLCF1/IL6/IL10/HAVCR2/CD300A/FCGR2B/CD74/BATF/ITGAM/CD19/IL33/PTGDR",17
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","14/231","198/18903",1.56357558088815e-07,1.65159909507148e-05,1.34290721430666e-05,"GAL/BANK1/TNFRSF13B/FGR/BTK/CD200/CNR2/LST1/IL10/HAVCR2/CD300A/MNDA/FCGR2B/CD74",14
"GO:0050869","GO:0050869","negative regulation of B cell activation","7/231","36/18903",2.29438623610935e-07,2.33699626620852e-05,1.90020033013116e-05,"BANK1/TNFRSF13B/BTK/IL10/CD300A/MNDA/FCGR2B",7
"GO:0070664","GO:0070664","negative regulation of leukocyte proliferation","10/231","96/18903",2.75322466252629e-07,2.7076540474224e-05,2.20158037442665e-05,"GAL/TNFRSF13B/BTK/LST1/IL10/HAVCR2/CD300A/MNDA/FCGR2B/IL33",10
"GO:0002637","GO:0002637","regulation of immunoglobulin production","9/231","76/18903",3.63967382005648e-07,3.46011657826703e-05,2.81340400897699e-05,"BTK/FCRL3/CLCF1/IL6/IL10/TNF/FCGR2B/IL33/TLR9",9
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","19/231","400/18903",5.16156727622422e-07,4.74864189412628e-05,3.86109769423496e-05,"GPR183/CCR7/ZBTB16/IL7/CCL5/BTK/CD83/FCRL3/CLCF1/IL6/IL10/HAVCR2/KLRK1/TNFRSF13C/CD74/CD70/VAV3/TLR9/CCL21",19
"GO:0050866","GO:0050866","negative regulation of cell activation","14/231","221/18903",5.97665433611394e-07,5.20078967572813e-05,4.22873686263714e-05,"GAL/BANK1/TNFRSF13B/FGR/BTK/CD200/CNR2/LST1/IL10/HAVCR2/CD300A/MNDA/FCGR2B/CD74",14
"GO:0001819","GO:0001819","positive regulation of cytokine production","21/231","486/18903",6.01774401469244e-07,5.20078967572813e-05,4.22873686263714e-05,"FGR/CCR7/LTB/IL7/BTK/CD83/CD200/IL6/IL10/HILPDA/HAVCR2/TNF/HSPA1B/KLRK1/MNDA/CD74/PAEP/BATF/IL33/POLR3F/TLR9",21
"GO:0002699","GO:0002699","positive regulation of immune effector process","15/231","261/18903",8.13034878525764e-07,6.81992786339847e-05,5.54525027056427e-05,"NCR3/FGR/FCER2/CD1C/BTK/CLCF1/IL6/IL10/CD300A/TNF/KLRK1/CD74/ITGAM/IL33/TLR9",15
"GO:0042116","GO:0042116","macrophage activation","10/231","109/18903",9.06160040970044e-07,7.38390981956162e-05,6.00382126393085e-05,"CD200/IL6/IL10/HAVCR2/TNF/FCGR2B/CD74/ITGAM/IL33/TLR9",10
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation","12/231","166/18903",9.68357848836062e-07,7.67154606911236e-05,6.23769690346738e-05,"GAL/BANK1/TNFRSF13B/FGR/BTK/LST1/IL10/HAVCR2/CD300A/MNDA/FCGR2B/CD74",12
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","17/231","341/18903",1.08222697068586e-06,8.34192248755695e-05,6.78277671812503e-05,"BANK1/NCR3/FGR/CCR7/CR2/BTK/FCRL3/HCK/CD300A/MS4A1/KLRK1/GPR33/MNDA/FCGR2B/CD19/LILRA4/VAV3",17
"GO:0050672","GO:0050672","negative regulation of lymphocyte proliferation","9/231","87/18903",1.16642212765073e-06,8.75430502121022e-05,7.11808295627302e-05,"GAL/TNFRSF13B/BTK/LST1/IL10/HAVCR2/CD300A/MNDA/FCGR2B",9
"GO:0032945","GO:0032945","negative regulation of mononuclear cell proliferation","9/231","88/18903",1.28563845111202e-06,9.4016432373628e-05,7.6444305203773e-05,"GAL/TNFRSF13B/BTK/LST1/IL10/HAVCR2/CD300A/MNDA/FCGR2B",9
"GO:0002861","GO:0002861","regulation of inflammatory response to antigenic stimulus","7/231","47/18903",1.54203662328507e-06,0.000103642249134853,8.42710101292096e-05,"FGR/CCR7/BTK/HCK/IL10/TNF/FCGR2B",7
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","16/231","312/18903",1.56679830996019e-06,0.000103642249134853,8.42710101292096e-05,"BANK1/NCR3/FGR/CCR7/CR2/BTK/FCRL3/HCK/CD300A/MS4A1/KLRK1/GPR33/MNDA/FCGR2B/CD19/VAV3",16
"GO:0002757","GO:0002757","immune response-activating signal transduction","16/231","312/18903",1.56679830996019e-06,0.000103642249134853,8.42710101292096e-05,"BANK1/NCR3/FGR/CCR7/CR2/BTK/FCRL3/HCK/CD300A/MS4A1/KLRK1/GPR33/MNDA/FCGR2B/CD19/VAV3",16
"GO:1903131","GO:1903131","mononuclear cell differentiation","20/231","473/18903",1.57476508090826e-06,0.000103642249134853,8.42710101292096e-05,"GPR183/CCR7/CR2/ZBTB16/IL7/BTK/FOS/CD83/FCRL3/CLCF1/IL6/IL10/MS4A1/HHEX/FCGR2B/CD74/BATF/CD19/TLR9/UBD",20
"GO:0030595","GO:0030595","leukocyte chemotaxis","14/231","240/18903",1.5989687804816e-06,0.000103642249134853,8.42710101292096e-05,"GPR183/CCR7/CXCR4/DUSP1/CCL5/CNR2/ALOX5/IL6/IL10/CXCR5/KLRK1/CD74/VAV3/CCL21",14
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","12/231","179/18903",2.1458286392736e-06,0.000135997850649073,0.000110579192802801,"NCR3/FCER2/CR2/CD1C/BTK/CLCF1/IL6/IL10/HAVCR2/TNF/KLRK1/FCGR2B",12
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","12/231","182/18903",2.55277777049051e-06,0.000158272221770411,0.000128690375935711,"FCER2/CR2/CD1C/BTK/CLCF1/IL6/IL10/HAVCR2/TNF/FCGR2B/BATF/IL33",12
"GO:0002449","GO:0002449","lymphocyte mediated immunity","17/231","367/18903",2.93518873262426e-06,0.000178109750328604,0.000144820174198684,"NCR3/FCER2/CR2/CD1C/BTK/GAPT/CLCF1/IL6/IL10/HAVCR2/TNF/KLRK1/FCGR2B/CD74/BATF/CD19/CD70",17
"GO:0036336","GO:0036336","dendritic cell migration","6/231","34/18903",3.15243891831195e-06,0.000187307412396368,0.000152298748619325,"GPR183/CCR7/CXCR4/CCL5/ALOX5/CCL21",6
"GO:0050871","GO:0050871","positive regulation of B cell activation","11/231","155/18903",3.30637389389741e-06,0.000192444456028478,0.00015647565388305,"GPR183/IL7/BTK/FCRL3/CLCF1/IL6/IL10/TNFRSF13C/CD74/VAV3/TLR9",11
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","18/231","414/18903",3.62697825518961e-06,0.000206882839676015,0.000168215433603846,"SELL/CCR7/ZBTB16/IL7/CCL5/CD83/ALOX5/IL6/IL10/HAVCR2/CD300A/TNF/KLRK1/TNFRSF13C/FCGR2B/CD74/CD70/CCL21",18
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","17/231","377/18903",4.2038987466376e-06,0.000235000316233184,0.000191077617428842,"CCR7/ZBTB16/IL7/CCL5/CD83/ALOX5/IL6/IL10/HAVCR2/CD300A/TNF/KLRK1/TNFRSF13C/FCGR2B/CD74/CD70/CCL21",17
"GO:0030098","GO:0030098","lymphocyte differentiation","18/231","419/18903",4.28471824829087e-06,0.000235000316233184,0.000191077617428842,"GPR183/CCR7/CR2/ZBTB16/IL7/BTK/CD83/FCRL3/CLCF1/IL6/IL10/MS4A1/HHEX/FCGR2B/CD74/BATF/CD19/TLR9",18
"GO:0002437","GO:0002437","inflammatory response to antigenic stimulus","8/231","79/18903",5.44977007430066e-06,0.000293259325507651,0.000238447735326402,"FGR/CCR7/BTK/CYSLTR1/HCK/IL10/TNF/FCGR2B",8
"GO:0031349","GO:0031349","positive regulation of defense response","15/231","307/18903",6.01773158802787e-06,0.000316056850252329,0.00025698429213327,"NCR3/CCR7/CCL5/BTK/HCK/IL6/HAVCR2/TNF/NUPR1/KLRK1/MNDA/IL33/POLR3F/TLR9/COCH",15
"GO:0002819","GO:0002819","regulation of adaptive immune response","12/231","198/18903",6.09506548523075e-06,0.000316056850252329,0.00025698429213327,"FCER2/CR2/CD1C/BTK/CLCF1/IL6/IL10/HAVCR2/TNF/FCGR2B/BATF/IL33",12
"GO:0002604","GO:0002604","regulation of dendritic cell antigen processing and presentation","4/231","11/18903",6.70375133475151e-06,0.000341412478691273,0.000277600830647699,"CCR7/FCGR2B/CD74/CCL21",4
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","14/231","275/18903",7.75759941638473e-06,0.000388152167289987,0.000315604644770001,"CCR7/ZBTB16/IL7/CCL5/CD83/ALOX5/IL6/HAVCR2/TNF/KLRK1/TNFRSF13C/CD74/CD70/CCL21",14
"GO:0002253","GO:0002253","activation of immune response","17/231","397/18903",8.31170636053562e-06,0.000408706664487027,0.000332317406756079,"BANK1/NCR3/FGR/CCR7/CR2/BTK/FCRL3/HCK/CD300A/MS4A1/KLRK1/GPR33/MNDA/FCGR2B/CD19/VAV3/TLR9",17
"GO:0002237","GO:0002237","response to molecule of bacterial origin","16/231","360/18903",9.71779118334681e-06,0.000466447466237682,0.000379266172629222,"CCR7/CCL5/BTK/FOS/CNR2/HCK/IL6/IL10/HAVCR2/SOD2/TNF/KLRK1/FCGR2B/CMPK2/CAMP/TLR9",16
"GO:0042119","GO:0042119","neutrophil activation","6/231","41/18903",9.81306029953048e-06,0.000466447466237682,0.000379266172629222,"CCL5/CD300A/TNF/FCGR2B/ITGAM/CAMP",6
"GO:0043030","GO:0043030","regulation of macrophage activation","7/231","62/18903",1.03222121565626e-05,0.000482605722467486,0.000392404372405651,"CD200/IL6/IL10/HAVCR2/FCGR2B/CD74/IL33",7
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","15/231","322/18903",1.06456024256437e-05,0.000489697711579611,0.000398170834358117,"CCR7/ZBTB16/IL7/CCL5/CD83/ALOX5/IL6/IL10/HAVCR2/TNF/KLRK1/TNFRSF13C/CD74/CD70/CCL21",15
"GO:0002312","GO:0002312","B cell activation involved in immune response","8/231","88/18903",1.22194860400248e-05,0.000553174193430963,0.000449783253904337,"GPR183/GAPT/CLCF1/IL6/IL10/FCGR2B/BATF/CD19",8
"GO:0002712","GO:0002712","regulation of B cell mediated immunity","7/231","64/18903",1.27714148040934e-05,0.000560370384942681,0.000455634442322553,"FCER2/CR2/BTK/CLCF1/IL10/TNF/FCGR2B",7
"GO:0002889","GO:0002889","regulation of immunoglobulin mediated immune response","7/231","64/18903",1.27714148040934e-05,0.000560370384942681,0.000455634442322553,"FCER2/CR2/BTK/CLCF1/IL10/TNF/FCGR2B",7
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","16/231","375/18903",1.61048326348317e-05,0.000686076551256602,0.00055784551650487,"FCER2/CR2/CD1C/BTK/GAPT/CLCF1/IL6/IL10/HAVCR2/TNF/FCGR2B/CD74/BATF/CD19/IL33/CD70",16
"GO:0019724","GO:0019724","B cell mediated immunity","12/231","218/18903",1.61175066389174e-05,0.000686076551256602,0.00055784551650487,"FCER2/CR2/BTK/GAPT/CLCF1/IL10/TNF/FCGR2B/CD74/BATF/CD19/CD70",12
"GO:0050863","GO:0050863","regulation of T cell activation","16/231","376/18903",1.66402525596665e-05,0.000688850335057476,0.000560100866661113,"CCR7/ZBTB16/IL7/CCL5/CD83/IL6/IL10/HAVCR2/CD300A/KLRK1/TNFRSF13C/FCGR2B/CD74/BATF/CD70/CCL21",16
"GO:0002377","GO:0002377","immunoglobulin production","12/231","219/18903",1.68703885193564e-05,0.000688850335057476,0.000560100866661113,"BTK/GAPT/FCRL3/CLCF1/IL6/IL10/TNF/VPREB3/FCGR2B/BATF/IL33/TLR9",12
"GO:0002407","GO:0002407","dendritic cell chemotaxis","5/231","27/18903",1.69161158706017e-05,0.000688850335057476,0.000560100866661113,"GPR183/CCR7/CXCR4/CCL5/CCL21",5
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","18/231","464/18903",1.71487986637731e-05,0.000688850335057476,0.000560100866661113,"NCR3/CCR7/CXCR4/CCL5/BTK/HCK/IL6/HAVCR2/TNF/NUPR1/KLRK1/MNDA/CD74/IL33/POLR3F/TLR9/CCL21/COCH",18
"GO:0032496","GO:0032496","response to lipopolysaccharide","15/231","339/18903",1.95048917035407e-05,0.000772610432479142,0.000628205795656437,"CCR7/CCL5/BTK/FOS/CNR2/HCK/IL6/IL10/HAVCR2/SOD2/TNF/KLRK1/CMPK2/CAMP/TLR9",15
"GO:0036230","GO:0036230","granulocyte activation","6/231","47/18903",2.20442338199819e-05,0.000861234998008058,0.000700266000078155,"CCL5/CD300A/TNF/FCGR2B/ITGAM/CAMP",6
"GO:0032722","GO:0032722","positive regulation of chemokine production","7/231","70/18903",2.31619364266222e-05,0.000892673549847655,0.0007258285341088,"IL7/IL6/HAVCR2/TNF/CD74/IL33/TLR9",7
"GO:0002468","GO:0002468","dendritic cell antigen processing and presentation","4/231","15/18903",2.6681823995186e-05,0.000998025733162917,0.000811489883427292,"CCR7/FCGR2B/CD74/CCL21",4
"GO:1902563","GO:1902563","regulation of neutrophil activation","4/231","15/18903",2.6681823995186e-05,0.000998025733162917,0.000811489883427292,"CD300A/TNF/FCGR2B/ITGAM",4
"GO:0032642","GO:0032642","regulation of chemokine production","8/231","98/18903",2.69452950398123e-05,0.000998025733162917,0.000811489883427292,"IL7/IL6/IL10/HAVCR2/TNF/CD74/IL33/TLR9",8
"GO:0032602","GO:0032602","chemokine production","8/231","99/18903",2.90092692424559e-05,0.00106069789589082,0.000862448314995011,"IL7/IL6/IL10/HAVCR2/TNF/CD74/IL33/TLR9",8
"GO:0045785","GO:0045785","positive regulation of cell adhesion","18/231","484/18903",2.99527774082434e-05,0.0010813331793457,0.000879226763895538,"CCR7/ZBTB16/IL7/CCL5/CD83/ALOX5/IL6/IL10/HAVCR2/TNF/KLRK1/TNFRSF13C/CD74/CD70/VAV3/CCL21/TPM1/FBLN2",18
"GO:0150076","GO:0150076","neuroinflammatory response","7/231","73/18903",3.05197173753342e-05,0.00108802792443067,0.00088467022865607,"CD200/IL6/TNF/NUPR1/ITGAM/IL33/TLR9",7
"GO:0001776","GO:0001776","leukocyte homeostasis","8/231","100/18903",3.12039455377821e-05,0.00109868707004635,0.000893337128261651,"GPR183/TNFRSF13B/BTK/GAPT/IL6/PMAIP1/CD74/HCAR2",8
"GO:0050853","GO:0050853","B cell receptor signaling pathway","9/231","130/18903",3.17992319462811e-05,0.00110599279891212,0.000899277380971211,"BANK1/BTK/FCRL3/CD300A/MS4A1/MNDA/FCGR2B/CD19/VAV3",9
"GO:0043552","GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity","5/231","32/18903",4.01472223806629e-05,0.00137416965337567,0.00111733068073618,"FGR/CCR7/CD19/VAV3/CCL21",5
"GO:0060326","GO:0060326","cell chemotaxis","14/231","319/18903",4.04734400012469e-05,0.00137416965337567,0.00111733068073618,"GPR183/CCR7/CXCR4/DUSP1/CCL5/CNR2/ALOX5/IL6/IL10/CXCR5/KLRK1/CD74/VAV3/CCL21",14
"GO:0045088","GO:0045088","regulation of innate immune response","12/231","240/18903",4.15574043570064e-05,0.00138862096753946,0.00112908097419703,"NCR3/FGR/CCL5/HCK/HAVCR2/KLRK1/MNDA/FCGR2B/NCF1/POLR3F/TLR9/COCH",12
"GO:0006959","GO:0006959","humoral immune response","14/231","320/18903",4.18728622750327e-05,0.00138862096753946,0.00112908097419703,"GPR183/FCER2/CCR7/CR2/IL7/LYZ/CD83/ALOX5/IL6/TNF/RNASE6/MS4A1/FCGR2B/CAMP",14
"GO:0002639","GO:0002639","positive regulation of immunoglobulin production","6/231","53/18903",4.43395761865196e-05,0.00145352265843625,0.00118185222430614,"BTK/CLCF1/IL6/IL10/IL33/TLR9",6
"GO:0045577","GO:0045577","regulation of B cell differentiation","5/231","33/18903",4.68480179615453e-05,0.00151830167302645,0.00123452372690532,"IL7/BTK/FCRL3/IL10/TLR9",5
"GO:0071674","GO:0071674","mononuclear cell migration","11/231","206/18903",4.80631076758288e-05,0.00154017958529734,0.00125231255126967,"GPR183/CCR7/CXCR4/DUSP1/CCL5/CD200/ALOX5/IL6/TNF/KLRK1/CCL21",11
"GO:0002285","GO:0002285","lymphocyte activation involved in immune response","11/231","207/18903",5.02229076369055e-05,0.00159150813978283,0.00129404754998951,"GPR183/CD1C/GAPT/CLCF1/IL6/IL10/HAVCR2/FCGR2B/CD74/BATF/CD19",11
"GO:0043299","GO:0043299","leukocyte degranulation","7/231","79/18903",5.10333189158753e-05,0.00159941786316567,0.00130047890771166,"FGR/BTK/HCK/CD300A/FCGR2B/ITGAM/PTGDR",7
"GO:0050727","GO:0050727","regulation of inflammatory response","16/231","414/18903",5.3132968695435e-05,0.00164712202955849,0.00133926693405084,"FGR/CCR7/CCL5/BTK/CD200/CNR2/HCK/ALOX5/IL6/IL10/TNF/NUPR1/FCGR2B/NCF1/IL33/TLR9",16
"GO:0002686","GO:0002686","negative regulation of leukocyte migration","6/231","55/18903",5.48626721491572e-05,0.00166455681882336,0.00135344307664718,"DUSP1/CD200/CD300A/KLRK1/IL33/CCL21",6
"GO:0038093","GO:0038093","Fc receptor signaling pathway","6/231","55/18903",5.48626721491572e-05,0.00166455681882336,0.00135344307664718,"FGR/BTK/HCK/FCGR2B/LILRA4/VAV3",6
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity","9/231","140/18903",5.69251204967976e-05,0.0017046821269792,0.00138606877010969,"NCR3/FCER2/CD1C/BTK/CLCF1/IL6/TNF/KLRK1/ITGAM",9
"GO:0034599","GO:0034599","cellular response to oxidative stress","13/231","288/18903",5.73806045546997e-05,0.0017046821269792,0.00138606877010969,"GSKIP/BTK/FOS/ALOX5/IL6/IL10/SOD2/TNF/HSPA1B/NCF1/MGST1/TPM1/SUMO4",13
"GO:0150078","GO:0150078","positive regulation of neuroinflammatory response","4/231","18/18903",5.81138713598173e-05,0.0017086676403938,0.00138930937173823,"IL6/TNF/NUPR1/IL33",4
"GO:0032635","GO:0032635","interleukin-6 production","10/231","176/18903",6.32108613275813e-05,0.00182098360107335,0.00148063293465882,"BANK1/BTK/CD200/IL6/IL10/HAVCR2/TNF/CD74/IL33/TLR9",10
"GO:0032675","GO:0032675","regulation of interleukin-6 production","10/231","176/18903",6.32108613275813e-05,0.00182098360107335,0.00148063293465882,"BANK1/BTK/CD200/IL6/IL10/HAVCR2/TNF/CD74/IL33/TLR9",10
"GO:0050870","GO:0050870","positive regulation of T cell activation","12/231","251/18903",6.4054304389644e-05,0.00182682876119265,0.00148538560600406,"CCR7/ZBTB16/IL7/CCL5/CD83/IL6/HAVCR2/KLRK1/TNFRSF13C/CD74/CD70/CCL21",12
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","11/231","215/18903",7.07144350205687e-05,0.00199680761067982,0.00162359458416168,"FCER2/CR2/BTK/GAPT/CLCF1/IL10/TNF/FCGR2B/CD74/BATF/CD19",11
